[2026-06-27T11:58:09.611Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:22.371Z] GET http://localhost:4178/enterprise-detail.html?id=ENT-001 → 200 (3ms, 32027B)
[2026-06-27T11:58:22.377Z] GET http://localhost:4178/assets/css/theme.css → 200 (8ms, 27802B)
[2026-06-27T11:58:22.378Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T11:58:22.378Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T11:58:22.379Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (10ms, 340606B)
[2026-06-27T11:58:22.379Z] GET http://localhost:4178/assets/js/data.js → 200 (11ms, 47293B)
[2026-06-27T11:58:22.381Z] GET http://localhost:4178/assets/js/charts.js → 200 (9ms, 15865B)
[2026-06-27T11:58:22.383Z] GET http://localhost:4178/assets/js/components.js → 200 (26ms, 13597B)
[2026-06-27T11:58:22.384Z] GET http://localhost:4178/assets/js/shell.js → 200 (27ms, 17726B)
[2026-06-27T11:58:22.439Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:36.757Z] GET http://localhost:4178/post-investment.html → 200 (5ms, 19376B)
[2026-06-27T11:58:36.765Z] GET http://localhost:4178/assets/css/theme.css → 200 (6ms, 27802B)
[2026-06-27T11:58:36.765Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (1ms, 6063B)
[2026-06-27T11:58:36.768Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T11:58:36.770Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (11ms, 340606B)
[2026-06-27T11:58:36.770Z] GET http://localhost:4178/assets/js/data.js → 200 (11ms, 47293B)
[2026-06-27T11:58:36.770Z] GET http://localhost:4178/assets/js/charts.js → 200 (11ms, 15865B)
[2026-06-27T11:58:36.770Z] GET http://localhost:4178/assets/js/components.js → 200 (11ms, 13597B)
[2026-06-27T11:58:36.770Z] GET http://localhost:4178/assets/js/shell.js → 200 (11ms, 17726B)
[2026-06-27T11:58:36.832Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T11:58:37.590Z] GET http://localhost:4178/park-list.html → 200 (3ms, 17262B)
[2026-06-27T11:58:37.593Z] GET http://localhost:4178/assets/css/theme.css → 200 (2ms, 27802B)
